"SA2004I","Infant mortality rate (per 1000 live births)","SA2004V*1000","SA2007V",""
"SA2007I","Crude birth rate (per 1000 inhabitants)","SA2007V*1000","DE1001V",""
"SA2013I","Mortality rate for individuals under 65 from heart diseases and respiratory illness","SA2013V","DE1040V +DE1074V + DE1077V + DE1046V + DE1049V + DE1058V + DE1061V + DE1064V + DE1025V",""
"SA2016I","Mortality rate for <65 per year","SA2016V","DE1040V +DE1074V + DE1077V + DE1046V + DE1049V + DE1058V + DE1061V + DE1064V + DE1025V",""
"SA2017I","Mortality rate for <65 per year (Male)","SA2017V","DE1041V + DE1075V + DE1078V + DE1047V + DE1050V + DE1059V + DE1062V + DE1065V + DE1026V + DE1029V + DE1056V",""
"SA2018I","Mortality rate for <65 per year (Female)","SA2018V","DE1042V + DE1076V + DE1079V + DE1048V + DE1051V + DE1060V + DE1063V + DE1066V + DE1027V + DE1030V + DE1057V",""
"SA2029I","Crude death rate (per 1000 inhabitants)","SA2019V*1000","DE1001V",""
"TE1001I","Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4","TE1001V*1000","DE1040V",""
"TE1026I","Share of students in higher education in the total population (per 1000 persons)","TE1026V*1000","DE1001V","New"
"TE2028I","Prop. of working age population qualified at level 3 or 4 ISCED","TE2028V","DE1058V + DE1061V + DE1064V + DE1025V",""
"TE2031I","Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards","TE2031V","DE1058V + DE1061V + DE1064V + DE1025V","New"
"TT1057I","Number of registered cars per 1000 population","TT1057V*1000","DE1001V",""
"TT1060I","People killed in road accidents per 10000 pop.","TT1060V*10000","DE1001V",""
